question,answer
ダッシュボードの見方について教えてください。,ダッシュボードの表記について、くわしくは下記をご確認ください。 〇元本 元本とはお客さまがSUSTENに預入いただいた金額です。 追加のご入金（キャッシュバックによる入金も含みます）があった場合は元本に追加され、出金分は元本から控除されます。 なお、ダッシュボード上に表示される損益額は、各種交付書類に記載される税法上の損益額とは異なる場合がございます。 〇評価損益 評価損益とは、保有している投資信託の基準価額の変動によって発生する損益のことです。 〇純資産残高 純資産残高は、現在保有している投資信託の合計額から将来発生する可能性のある手数料を差し引いた金額です。 純資産残高は毎営業日の24時頃更新されます。
NISA口座で都度入金はできますか？,都度ご入金、運用いただけます。 NISA口座を開設後、振込でご入金いただきますとNISA口座（成長投資枠）を優先した運用を行います。なお、振込手数料はお客さま負担となります。 ※なお、お客さまのリスクレベル・市場連動性の設定状況に合わせ、自動的に入金額の一部が成長投資枠や課税口座に充当される場合がございます。
つみたて投資枠の積立額に上限はありますか？,つみたて投資枠は120万円/年です。そのため、つみたて投資枠への積立額は最大10万円/月が上限となります。10万円を超えた積立額については、成長投資枠を優先して運用されます。 年の途中から積立を開始された場合、毎月10万円の積立のみでつみたて投資枠を使い切ることができません。 つみたて投資枠について投資枠上限までご利用を希望される場合は、毎月10万円の積立設定にくわえ、別途ボーナス月の設定をご利用ください。ボーナス月を12月にご設定されている場合、引落日によっては翌年1月の受渡、NISA口座の利用となる場合がございますのでご注意ください。 なお、積立金額が10万円以下であっても、お客さまのポートフォリオ設定（リスクレベルや市場連動性）によってはシステムが一部成長投資枠や課税口座を優先した運用を行う場合がございます。また非課税投資枠を使い切らない場合がございます。
「非課税口座廃止通知書」「勘定廃止通知書」をSUSTENへ送るにはどのような手続きが必要ですか？,当年中の開設をご希望の場合は、9月15日までにお手元の廃止通知書を当社まで郵送にてお送りください。 ※9月15日が土日祝日の場合は翌営業日までとなります。 ※翌年の開設を希望される場合は、10月1日以降にお手続きをいただきますようお願いいたします。 口座の開設手順は下記の通りです。 １．SUSTENのNISA口座を申し込む ※既にSUSTENをご利用いただいている場合は、お客さまサイト内よりお手続きください。 ※SUSTEN for マネーフォワードの口座開設をされる方は、マネーフォワードMEにログイン後、ホーム画面よりSUSTEN for マネーフォワードの口座開設にお進みください。 ２．郵送用封筒を印刷、 お手元の「非課税口座廃止通知書」もしくは「勘定廃止通知書」と本人確認書類をSUSTENへ郵送  ※郵送用封筒（原本）をご希望の場合は、support@susten.jpへ登録のメールアドレスよりご連絡ください。 ※SUSTENのご登録住所と本人確認書類の住所は一致している必要がございます。転居されている場合は、まずは住所変更手続きをいただきすようお願いいたします。 【いずれかの本人確認書類のコピーを同封ください】 ご使用いただける本人確認書類 ・マイナンバーカード（表面のみ） ・住民票（発行後6カ月以内） ・運転免許証（表・裏の両面） ・運転経歴証明書（表・裏の両面） ・パスポート（住所記載面及び発行年月日の記載がある面） *2020 年2月3日以前に申請した日本国発行のもので住所が記載されているもの。 ・在留カード（表・裏の両面） *有効年月日が2カ月以上あるもの、又は申請中の記載があるもの ・特別永住者証明書（表・裏の両面） なお、当年の勘定を既にご利用されている場合は翌年の変更になります。
「勘定廃止通知書」や「口座廃止通知書」を再交付してもらうにはどのような手続きが必要ですか？,廃止通知書の再交付には書面での届出が必要です。再交付をお申し出いただきました後、必要な書類をお送りいたします。 〇SUSTENで口座を保有されているお客さま ご登録メールアドレスより、再交付を希望される書類を明記の上support@susten.jpまでご連絡ください。 〇SUSTENの口座を解約されたお客さま 以下の必要事項を記載の上、support@susten.jpまでご連絡ください。 ・お名前 ・生年月日 （解約後に氏名変更があった場合は口座開設時のお名前もあわせてお知らせください） ・書類の送付先住所 ・再交付を希望される書類
SUSTENのNISA口座を廃止/勘定廃止しましたが、もう一度SUSTENでNISA口座を開設することはできますか？,一度SUSTENのNISA口座を廃止をされても、SUSTENでNISA口座を開設いただけます。 〇SUSTENで現在も課税口座をご利用されている方 再開設には書類でのお手続きが必要です。 SUSTENの登録メールアドレスより、NISA口座を再開設したい旨を記載の上support@susten.jpまでご連絡ください。 〇SUSTENの口座をすでに廃止されている方 あらためてSUSTENの口座開設をお申込みください。NISA口座の開設は口座開設手続きの際にお申込みいただけます。 ※９月までに非課税口座の利用がある場合、翌年のNISA口座開設としてお申込みいただけます。10月以降に再開設のお手続きが可能です。10月以降にご連絡・お申込みいただきますようお願い申し上げます。
NISA口座の申込はキャンセルできますか？,NISA口座申込後のキャンセルはうけたまわっておりません。 NISA口座の閉鎖や他の金融機関への変更を希望される場合、NISA口座の開設審査が完了した後、書類での手続きが必要になります。
他社でNISA口座を開設しています。SUSTENでNISA口座を開設する場合はどのようにしたらいいですか？,他社でNISA口座を開設している場合、以下のお手続きをいただきますとSUSTENでNISA口座を開設いただけます。 １．現在開設しているNISA口座の廃止もしくは金融機関変更の手続き ２．SUSTENでNISA口座の開設を申し込む ※SUSTEN for マネーフォワードの口座開設をされる方は、マネーフォワードMEにログイン後、ホーム画面よりSUSTEN for マネーフォワードの口座開設にお進みください。 ３．現在NISA口座を開設している金融機関から交付される「非課税口座廃止通知書」もしくは「勘定廃止通知書」および本人確認書類のコピーをSUSTENまで郵送 封筒原本を希望される場合は、support@susten.jpまでご連絡ください。 ＜使用できる本人確認書類の種類（いずれか1つご提出ください）＞ 運転免許証（表裏両面をご提出ください） マイナンバーカード（表面のみご提出ください） 個人番号通知カード（個人番号はマスキングのうえ印刷ください） 住民票（発行6ヶ月以内のもので、個人番号はマスキングのうえ印刷ください） 運転経歴証明書 パスポート（顔写真面と本人記入欄）（2020年2月4日以降に申請されたパスポートは、「所持人記入欄」がないためご利用いただけません。） 在留カード 特別永住者証明書 ※氏名、住所、生年月日が確認できる、有効期限内のものが必要です。 ４．SUSTENで書類を受領後、ご本人さま確認および税務署の審査 （税務署の審査には約2週間程度のお時間をいただいております。） ※当年中にSUSTENでNISA口座の開設を希望される場合、9月15日（土日祝日の場合は翌営業日）までに廃止通知書を当社までお送りください（当社必着）。 ※既にお手元に他の金融機関から交付された「口座廃止通知書」もしくは「勘定廃止通知書」がある場合は、「２．SUSTENでNISA口座の開設を申し込む」からお手続きください。 ※他の金融機関で当年の非課税投資枠を既にご利用済の場合、当年中はSUSTENでNISA口座の開設はできません。 ※翌年からSUSTENでNISA口座の開設をご希望の場合は、上記お手続きを当年10月1日以降に行っていただきますようお願いいたします。
海外に出国することになりました。NISA口座を継続することはできますか？,海外に出国される場合、SUSTENでは投資一任契約の規程に従い、全額出金の上、口座解約をお願いしております。 解約手続きの手順は下記の通りです。 １．積立設定の解除（積立をご利用されている場合） ２．全額出金の申込 ３．口座解約の申込 １.積立設定の解除（積立をご利用されている場合） お客さま画面＞＞入出金＞＞積立設定＞＞設定をはじめる＞＞積立を解除する、へお進みください。 解除のタイミングによっては、次回引落が行われた後に、設定解除となる場合があります。 次回積立予定にて、引落日や解除期日をご案内しておりますので、ご確認いただきますようお願いします。 ２．全額出金の申込 お客さま画面＞＞入出金＞＞出金＞＞出金口座にチェックを入れる＞＞全額出金する＞＞出金内容を確認する＞＞出金依頼を確定する、にて出金内容を確定ください。全額出金いただいた後に積立による引落が発生した場合、積立による入金後、あらためて全額出金の手続きが必要となります。 当社サービスは、投資信託を通して価格変動のある有価証券等に投資を行うため、お客さまの純資産残高は日々変動します。全額出金の申込タイミングは、お客さまご自身のご判断でいただきますようよろしくお願い申し上げます。 ３．口座解約の申込 全額出金（引落額を含む）が完了した後、以下の記載事項をsupport@susten.jpまでメールで連絡ください。 ご本人さま確認後に、口座解約を進めさせていただきます。 〈記載事項〉 ・氏名 ・生年月日 ・ご登録の郵便番号 ・ご住所 ・ご登録のお電話番号 ・解約を希望される旨を記載 ご連絡をいただきました後、手続きに必要な書類をお送りいたします。 なお、海外へ出国されるお客さまで2023年までのつみたてNISA口座での運用資金の継続保有を希望される場合はsupport@susten.jpまでご連絡ください。手続きについてご案内いたします。
SUSTENから別の金融機関へNISA口座を変更するにはどのような手続きが必要ですか？,SUSTENから他の金融機関へNISA口座を変更される場合、事前に以下のお手続きをお願いしております。 ご連絡をいただいた後、必要書類をご登録住所にお送りいたします。 ※当年中にNISA口座で投資信託の買付がある場合、当年中の金融機関変更はできませんのでご注意ください。 ※NISA口座の残高がない場合は、原則としてNISA口座の廃止としてうけたまわります。 当年中の金融機関変更を希望される場合、8月31日までに以下のお手続きをお願いいたします。書類の返送期限は9月15日です。 １．当年中にNISA口座で買付がないことを確認 ２．積立設定がないことを確認 ※引落予定がないことを必ずご確認ください。NISA口座の金融機関変更手続きが完了した後に積立による引落が発生した場合、課税口座での運用となります。 ３．当年中の廃止希望であることを明記の上、support@susten.jpまでご連絡ください。手続きに必要な書類をお送りいたします。 翌年の金融機関変更を希望される場合、10 月1日から11月30日までに翌年の金融機関変更を希望されることを明記の上、support@susten.jpまでご連絡ください。手続きに必要な書類をお送りいたします。書類の返送期限は12月10日です。 ※本人確認書類に記載の住所とSUSTENの登録住所は一致している必要がございます。転居されている場合は、住所変更のお手続きをお願いいたします。
キャッシュバックについて教えてください。,運用を開始した月の月末から1年間、課税口座・NISA口座のいずれからも出金がなかったお客さまが対象です。 この期間に出金がなかった場合、1年前のNISA口座お預かり残高*にたいして、最大で年率0.1％相当分をお客さまの投資資金に還元いたします。 キャッシュバックは毎月実施します。 毎月末を基準日とし、運用開始月の月末から1年後の月末最終営業日が判定日となります。 該当のお客さまには同日中にキャッシュバックを実施します。 キャッシュバック分は自動的に再投資されます。 *キャッシュバックの対象は、NISA口座残高のうちSUSTENが信託報酬をいただく投資信託の残高に限ります。 課税口座でのお預かり残高はキャッシュバックの対象ではありません。 SUSTEN for マネーフォワードをご利用のお客さまは対象外です。
SUSTENのサービスを利用するために必要なシステム環境やアプリの対応端末について教えてください。,"以下の環境でご利用いただけます。 OS ブラウザ Windows 10 以上 Microsoft Edge, Google Chrome, FireFox いずれも最新版 Mac OS Monterey 12.7.5 以上 Google Chrome, Safari いずれも最新版 iOS 16.0以上 Mobile Safari 最新版 Android 10.0以上 Google Mobile Chrome 最新版 SUSTENのアプリはiOS版／Android版でご用意がございます。 対応端末は下記の通りです。 iOS 14.0以上 Android 7.0以上 "
SUSTENのファンド休業日を教えてください。,下記は、ニューヨーク証券取引所およびナスダック証券取引所の休業日、またはニューヨークの銀行休業日に伴う投資信託の購入・解約の申込受付不可日です。 現時点（2024年12月28日現在）で確認できる2025年12月末までの休業日であり、休業日は変更となる場合があります。 投資信託の購入（積立による購入も含みます）、解約のお申込みを休業日に頂いた場合は翌営業日扱いとなります。 2025年 ファンド休日カレンダー （海外市場休業日に伴う申込受付不可日一覧） 1月 9日、20日 2月 17日 3月 4月 18日 5月 26日 6月 19日 7月 4日 8月 9月 1日 10月 11月 11日、27日 12月 25日 ※カーター元米大統領の逝去を受け、ニューヨーク証券取引所とナスダック証券取引所は1月9日が休場となります（2025年1月6日追記）。 なお、「当社投資信託の購入・換金申込受付不可日」においても、当社営業日の場合、SUSTENへの入出金のお申込みはお受けいたします。
お客さまサイトの「お知らせ」に交付される電子交付書面をPDFで保存したり印刷することはできますか？,PDF形式で保存が可能です。お手元のプリンタやアプリ等をご利用の上、印刷ください。 〇PC端末の場合 1. 「お知らせ」に交付された電子交付書面を開く 2．印刷ボタンをクリック 3．印刷物の送信先を「PDF」として設定する 4．「印刷」ボタンをクリック、ご利用PC端末の任意の場所にPDFとして保存する 5．印刷する場合は、送信先を設定しているプリンタに指定、印刷する 〇 スマートフォンの場合 1. 「お知らせ」に交付された電子交付書面を開く 2. 画面右上のメニューボタンをタップする 3. メニューバー内のダウンロードボタンをタップする 端末内にダウンロードされた電子交付書面がPDF形式で保存される 4. アプリ等を利用してダウンロードした交付書面を印刷する
スマートフォンで目論見書などのリンク先の書面を確認しましたが、「確認済み」ボタンが押せず先へ進めません。どうしたら先へ進めますか？,すべての書面を確認すると、「口座開設を申し込む」「確認済み」などのボタンが濃紺になり、タップすると次の画面へ進めます。 ボタンをタップできない場合は、以下をご確認ください。 ご利用端末によって、表示が異なる場合があります。 〇確認事項 ・すべてのリンクを開いて内容をご確認ください。 リンク先が複数ある場合は、すべて開いて確認ください。 すべての書面を確認すると、「確認しました」ボタンがグレーから濃紺に変わり、タップできるようになります。 ・リンク先の書面を確認後、元の画面に戻る際、はスマートフォン画面下の「戻る（＜）」をタップしてください。 ・「戻る（＜）」ボタンで戻ってもボタンがタップできない場合は、以下の手順をお試しください。 「目論見書」や「約款」等の書面をご確認いただいた場合、複数のブラウザが開いている状態になることがあります。 ご利用端末の右下または右上に表示される以下のアイコンをタップすると、現在開いている複数の画面が表示されます。 その中から元の画面を選択してください。ボタンが濃紺になり、次へ進めるようになります。 〇不具合が解消しない場合 上記を試しても不具合が解消しない場合は、support@susten.jpまでご連絡ください。 ご連絡の際は、スクリーンショットを添付してください。 ※端末により実際の操作方法は異なります。ご利用端末の操作方法は各メーカーへお問合せください。
メールアドレスの変更はできますか？,メールアドレスは、お客さまサイトから変更できます。 60分以内に手続きを完了ください。 １．お客さまサイトにログイン、画面左上の「お客さまの氏名」 へ進む ２．「マイページ」＞＞「お客さま情報」ページで「変更する」 へ進む メール認証 ご本人さま確認のため、ご登録のメールアドレスに認証コードが送信される 新しいメールアドレスの入力 新しいメールアドレスの認証 新しいメールアドレスに届いた認証コードを入力する
【成果報酬型】HWM（ハイ・ウォーター・マーク）とはなんですか？,ハイ・ウォーター・マーク（HWM）とは、成果報酬型運用資産の「過去最高評価額」です。 入出金がある場合、HWMは以下のように変動します。 ・入金時：入金額が投資元本に加算されます。 ・出金時：出金比率に応じてHWMが調整（減算）されます。 ・運用成果報酬の収受時（消費税相当額を含む）：成果報酬がHWMから減算されます。 毎月最終営業日の「成果報酬対象投資評価額（未収受の運用成果報酬を含む）」がHWMを超えた場合にのみ、成果報酬が発生します。
【成果報酬型】成果報酬とHWMはどのように決まりますか？,【追加入金や出金がない場合】 まず、運用開始時のご入金額が当初HWM（ハイ・ウォーター・マーク、過去最高評価額）として設定されます。 運用開始後、過去最高益を更新した月末にだけ、運用益に対して一定料率の成果報酬（税込）が発生します。また、成果報酬が徴収された後の純資産残高が、新しいHWMとして更新されます。 前月からマイナスとなった月や、前月からプラスでも過去最高益を更新していない月には、成果報酬*は発生しません。 *成果報酬は発生しませんが、お客さまの資産を保全する信託銀行に支払う受託者報酬や投資対象上場投資信託に支払う経費など、実質的な費用が発生します。なお、当サービスに係る費用合計額、その上限額及び計算方法は、運用状況により異なるため、事前に表示することができません。 【追加入金した場合】 追加入金の際は、ご入金額が投資元本としてHWMに加算されます。 積立による入金も同様です。 HWMを上回っている時 HWMを下回っている時 【出金した場合】 ご出金の際は、出金比率に応じてHWMも減算されます。 また、HWMを上回っている場合には、その時点で発生し得る成果報酬のうち、出金比率*相当分のみ出金時に徴収されます。 HWMを上回っている時 HWMを下回っている時 ＊出金比率は、出金申込額÷純資産残高（現時点で発生し得る成果報酬を控除した概算値）で算出します。 ※上記は、例示をもって理解を深めていただくことを目的とした概念図です。実際の成果報酬やHWMの水準については、各種報告書やお客さま画面をご確認ください。
【成果報酬型】成果報酬とは何ですか？,成果報酬とは、お客さまの成果報酬型の運用資産で投資評価額が過去最高評価額を更新した時にのみSUSTENが受け取る投資一任報酬（手数料）です。 成果報酬は課税口座での運用が対象です。 成果報酬は、以下の投資信託を保有した場合にのみ発生いたします。 ・グローバル資産分散ポートフォリオ（R） ・グローバル複合戦略ポートフォリオ（G） ※NISA口座を開設している場合でも、お客さまのリスクレベル・市場連動性の設定状況に合わせ、自動的に入金額の一部が課税口座に充当される場合があります。HWMの更新の有無は毎月末に判定されます。 ※この図は、例示をもって理解を深めていただくことを目的とした概念図です。実際の運用結果をお約束するものではありません。 成果報酬は、会員ステージによって料率が異なります。 【会員ステージ】 ※追加投資があった場合や出金があった場合はその都度調整されます。 ※「SUSTEN for マネーフォワード」をご利用いただいているお客さまは、成果報酬の発生する投資信託を保有することはございません。そのため、会員ステージは投資金額に関わらず「会員ステージ１」が表示されます。
【成果報酬型】成果報酬は、いつどのように支払うのですか？,毎月最終営業日を基準日とし、投資評価額が過去最高評価額（ハイ・ウォーター・マーク（HWM））を上回る月のみ、その超過分に対して成果報酬が発生します。 成果報酬が発生した場合、保有投資信託の売却により徴収します。 お客さまが成果報酬分をご入金する必要はありません。 ただし、報酬計算日にご入金された場合には、ご入金額から優先して成果報酬をいただきます。 お客さまから全部もしくは一部出金のお申し込みがあった場合、出金申込額に相当する部分のみ、出金申込日を報酬計算日とし、成果報酬を算出します。 これにより成果報酬が発生する場合、出金申込日の翌営業日に成果報酬を徴収します。
会員ステージとは何ですか？,成果報酬の発生する投資信託を保有されている場合の成果報酬料率を示すものです。SUSTEN for マネーフォワードをご利用いただいているお客さまは「会員ステージ１」が表示されますが、成果報酬は発生しません。
最低投資金額を教えてください。,最低投資金額は1円です。積立設定は1万円から可能です。 ※投資対象ファンドの約定最低金額に満たない場合は、現金のまま保持される可能性があります。 ※合計入金額が１万円未満の場合、一部のサービス・機能はご利用いただけない可能性があります。
自動非課税成機能とはなんですか？,NISA口座の年間投資枠を超えて入金された場合、それらの上限額を上回った投資資金はいったん課税口座で運用されます。その後、翌年に年間投資枠が利用可能となる、あるいは非課税投資枠が復活した場合、システムが自動で投資信託を売買、NISA口座を優先した運用が行われます。 また、課税口座ですでに運用されているお客さまが「自動非課税成機能」を有効にされた場合、課税口座での投資分をシステムが自動で売却、NISA口座で新たに投資信託を買付けNISA口座を優先した運用に切り替えます。 これまで課税口座で運用されていた資金はそのまま課税口座での運用継続を希望される場合は、自動非課税成機能を有効にされないようご注意ください。 ※「自動非課税成機能」のご利用にはNISA口座の開設が必要です。
取引報告書や取引残高報告書は郵送で送ってもらえますか？,SUSTENでは報告書や契約書等はすべて電子交付しています。 必要に応じて印刷、ご利用ください。 各種報告書はお客さまサイト内・お知らせに交付します。 取引報告書：お取引の都度発行 取引残高報告書：1月、4月、7月、10月の15日 特定口座年間取引報告書：毎年1月10日頃、SUSTENを解約した場合は翌月10日頃
相続が発生した場合、どのような手続きが必要ですか？,相続のお手続きが必要になった場合、以下の記載事項を記載の上、support@susten.jpまでメールでご連絡ください。お手続きに必要となる書類を相続人または代理人の方へお送りいたします。 【記載事項】 ・ご連絡をいただいた方とご契約者さまの続柄およびご連絡先 ・ご契約者さまのお名前 ・ご契約者さまの生年月日 ・ご契約者さまの登録住所 ※なお、代理人の方からご連絡をいただく場合、代理人としての立場が確認できる書類（コピー）のご提出が必要です。手続き書類とあわせてご提出ください。 SUSTENでは預かり証券の移管は行っておりません。 換金のうえ、相続人の銀行口座へお振込みいたします。
登録しているメールアドレスが使えなくなった場合、どのように変更手続きをしたらいいですか？,新しく登録を希望されるメールアドレスより、以下の必要事項を記載の上、support@susten.jpまでメールでご連絡ください。 変更手続きについてご連絡いたします。 【記載事項】 お名前 現在の登録メールアドレス 新しく登録を希望されるメールアドレス ※必ず新しく登録を希望されるメールアドレスからご連絡ください。 ※ご登録を希望されるメールアドレスは、SUSTENでのメール認証を一度もしていないものに限ります。
特定口座の源泉徴収あり・なしの変更はできますか？,特定口座の源泉徴収あり・なしの変更は翌年の変更予約のみ承っております。 同一年中の変更はお受けできません。 以下の必要事項を記載の上、support@susten.jpまでメールでご連絡ください。 【記載事項】 ・氏名 ・生年月日 ・ご登録のご住所 ・ご意向の記載（特定口座の源泉徴収ありからなしに変更したい、等） SUSTENではご依頼期間中にリバランスが発生する可能性を考慮し、同一年中の口座種別変更は承っておりません。 必ずご登録のメールアドレスからご連絡ください。 ご予約いただきました源泉徴収あり・なしの変更手続きは、ご予約をいただいた年の12月下旬に行います。 手続き完了以降、ご予約をいただいた同一年中に約定するお取引が発生した場合、取引報告書には翌年の源泉徴収区分が表示されます。
入金したら何もしなくても運用がはじまるのでしょうか？,ご入金いただくと、自動的に運用が開始されます。
入出金の際、手数料はかかりますか？,出金手数料は無料です。 振込入金の場合、振込手数料はお客さまのご負担となります。 積立の場合、引落手数料は無料です。
認証コード（メール）が届きません。,以下の可能性が考えられます。 ご確認ください。 ・当社からのメールが「迷惑メール」として迷惑メールフォルダに振り分けられている可能性がございます。「迷惑メール」フォルダをご確認ください。 ・お客さまのセキュリティの設定によっては、当社からのメールが届かない場合がございます。 「susten.jp」からのメールを受信いただけるよう、ご設定ください。 ・アカウントの登録が完了している場合はSUSTENのお客さまサイトへログインいただき、口座開設手続きを進めていただけます。再登録は不要です。
海外へ出国することになりましたが、SUSTENをこのまま利用できますか？,海外赴任や移住等、非居住者となる場合はSUSTENをご利用いただくことはできません。 全額出金の上、出国前に解約手続きを行ってください。 各手続きの詳細や注意事項につきましては、以下をご参照ください。 １．積立設定の解除（積立をご利用されている場合） お客さま画面＞＞入出金＞＞積立＞＞衝立設定の変更＞＞積立をはじめる＞＞積立を解除する へ進む 解除のタイミングによっては、次回引落が行われた後に、設定解除となる場合があります。 次回積立予定にて、引落日や解除期日をご確認ください。 ２．全額出金の申込 お客さま画面＞＞入出金＞＞出金＞＞全額出金する＞＞出金内容を確認する＞＞出金を確定する へ進む ３．口座解約の申込 全額出金（引落額を含む）が完了した後、以下の記載事項をsupport@susten.jpまでメールで連絡ください。 ご本人さま確認後に、口座解約を進めさせていただきます。 〈記載事項〉 ・氏名 ・生年月日 ・ご登録の郵便番号 ・ご住所 ・ご登録のお電話番号 ※必ずご登録のメールアドレスよりご連絡をお願いいたします。 ※出金画面に記載の注意事項を必ずご参照ください。 ※2023年までのつみたてNISA口座で保有されている投資信託は所定の手続きをいただくことで、海外出国中であっても投資信託を継続して保有いただけます。support@suste.jpまでご連絡ください。
口座種別はどこで確認できますか？,口座種別は、お客さまページでご確認いただけます。 １．SUSTENのお客さまサイトへログイン ２．画面左上の「お客さまの氏名」＞＞マイページ へ進む ３．「口座情報内・口座種別」 を確認する
住所や氏名が変わりました。どのような手続きが必要ですか？,住所および氏名の変更は、お客さまページからお手続きをいただけます。 １．SUSTENのお客さまページへログイン、左上の「氏名」 へ進む ２．マイページ＞＞お客さま情報画面 へ進む ３．「ご本人さま情報」右下の「変更する」 へ進む ４．「姓名の変更」もしくは「住所の変更」を選択、変更手続きを進める なお、住所や氏名変更の際はあらためて本人確認書類の提出をお願いしております。 新住所や新氏名が記載されている以下の本人確認書類をお手元にご用意いただき、お手続きください。 【ご利用いただける本人確認書類】 〇マイナンバーカード（単体） 〇マイナンバー通知カード（現住所記載）＋ 写真付き身分証明書 〇マイナンバー入り住民票（発行から6ヵ月以内）＋ 写真付き身分証明書 ※ご提出いただく住民票は、ご本人さまの情報のみが記載されているものをご提出いただきますようお願いいたします。 ※写真付き身分証明書は以下のいずれかをご提出ください。 運転免許証 運転経歴証明書 旅券 （パスポート、2020年2月3日以前に申請した日本国発行のもので住所が記載されているものに限る） 在留カード （有効期限が2ヶ月以上あるもの、または申請中の記載があるもの） 特別永住者証明書 ※最短で、翌日お手続きが完了いたします。週末にお手続きをいただきますと、反映までにお時間をいただきます。 ※書面でのお手続きは承っておりません。あらかじめご了承いただきますようお願いいたします。
特定口座年間取引報告書はいつ発行されますか？,SUSTENでは、当年の1月1日から12月31日までの間にご解約やリバランス・税効果最適化に伴う売却の取引があったお客さまに、特定口座年間取引報告書を翌年の1月10日頃に交付いたします（特定口座を開設されている方に限ります）。 交付される特定口座年間取引報告書は、「お知らせ」画面よりご確認いただけます。 （※SUSTENを解約されたお客さまも解約後13ヵ月間は各種交付書類をお客さまサイトでご確認いただけます。） 該当する取引のないお客さまへの交付はございません。 なお、約定日が当年内であっても受渡が翌年となる場合は翌年と取引として取り扱いますのでご注意ください。
なぜマイナンバーの提出は必要なのですか？,当社では、口座開設時、また氏名やご住所に変更があった際には税務上の個人を特定する情報の変更として、氏名・ご住所・生年月日の他にマイナンバーも再度ご提出いただくようお願いしております。
解約する投資信託を指定したり、NISA口座や課税口座を指定して出金できますか？,解約する投資信託や出金元の口座を選ぶことはできません。出金時は、システムがお客さまの運用状況に合わせて解約する投資信託を判断いたします。 課税口座での運用分がある場合は課税口座で運用している投資信託を優先して解約、出金します。
出金先口座の登録方法を教えてください。,お客さまの設定により、出金先口座を登録するタイミングが異なります。 〇積立設定をされたお客さま 積立の引落口座が自動的に出金先口座として登録されます。 出金先口座を変更いただくことも可能です。 変更いただく場合、入出金＞＞出金画面にて出金先口座を変更ください。 〇積立設定をされずサービスをご利用いただくお客さま ご入金前に出金先口座の登録をお願いしております。 入出金＞＞出金画面にて出金先口座をご登録ください。 振込先口座情報は、出金先口座の登録後に表示されます。 振込入金後に積立設定をされた場合、出金先口座はご入金前に登録いただいた口座となります。積立の引落口座に自動的に切り替わることはございません。 変更いただく場合、入出金＞＞出金画面にて出金先口座を変更ください。
出金先の口座名義は変えられないのですか？,出金先の口座名義を変えることはできません。必ずご本人名義の口座を登録ください。 ご本人名義以外の口座が登録されていることが判明した場合、出金手続きを一時停止しお客さまへ確認のご連絡をさせていただきます。 口座名義の変更があった場合は氏名変更の手続きをおこなってください。 住所や氏名が変わりました。どのような手続きが必要ですか？
SUSTEN口座と名義の異なる口座から振込を行ってしまいました。,SUSTEN口座の名義人以外からの入金は受け付けておりません。 お客さまご自身で振込元の金融機関に「組み戻し」をご依頼ください。組み戻し手数料はお客さま負担です。 手続きにつきましては、振込元の金融機関にお問い合わせください。
入金後、運用される口座を選ぶことはできますか？,投資資金を運用する口座を選ぶことはできません。 SUSTENでは、システムが自動的にお客さまのリスクレベルや市場連動性にあった運用をおこないます。 〇課税口座のみ開設されているお客さま 課税口座で成果報酬型サービスとして運用されます。 〇NISA口座を開設されているお客さま 振込での入金は、NISA口座（成長投資枠）を優先して運用されます。 積立の引落による入金は、NISA口座（つみたて投資枠）を優先して運用されます。 NISA口座（成長投資枠・つみたて投資枠）の年間投資枠を超過した場合、またお客さまのリスクレベル・市場連動性の設定状況に合わせ、自動的に入金額の一部が課税口座やNISA口座（成長投資枠）に充当される場合がございます。
振込入金がダッシュボードに反映されるまでどれくらいかかりますか？,１．当社にて着金確認次第、『入出金履歴』に入金額が反映されます。 ※15時30分以降、また当社休業日にお振込をいただいた場合、入金・着金確認は翌営業日扱いとなります。 ２．投資信託の買付発注を行った当日24時頃、『純資産残高』に入金額が反映されます。 ※投資信託の購入申込受付不可日を含む場合はスケジュールが変動します。 詳しくは以下の図をご参照ください。 入金後のスケジュール *当社における入金確認が15時30分以降となった場合、翌営業日扱いとなります。 **入金額は投資信託約定までの間は現金として純資産残高に加算されます。 投資信託の購入申込受付不可日を含む場合 *当社における入金確認が15時30分以降となった場合、翌営業日扱いとなります。入金の締切時間は、15時30分から前後する場合がございます。 **入金額は投資信託約定までの間は現金として純資産残高に加算されます。 ***翌営業日以降も投資信託の購入申込受付不可日が連続する場合、その翌営業日に発注が行われるため、運用開始日が変動します。
振込入金してから運用が始まるまでどれくらいかかりますか？,当社においてお客さま口座への 入金が確認された日 に、入金額に相当する当社投資信託を、運用方針に基づき選定し、取得の発注を行います 。なお、当社投資信託の購入・換金申込受付不可日の場合は、翌営業日に取得の発注を行います。同発注分は、 その翌営業日 における当社投資信託の基準価額で約定され、運用が開始します。 詳しくは以下の図をご参照ください。 入金後のスケジュール 。 投資信託の購入申込受付不可日を含む場合 ※当社における入金確認が15時30分以降となった場合、また土日祝日の入金は翌営業日扱いとなります。 ※ご入金額は投資信託約定までの間は現金として純資産残高に加算されます。 ※投資信託の申込受付不可日を含む場合、運用開始日が変動します。
